"TIME_ID","DAY_NAME","DAY_NUMBER_IN_WEEK","DAY_NUMBER_IN_MONTH","CALENDAR_WEEK_NUMBER","FISCAL_WEEK_NUMBER","WEEK_ENDING_DAY","WEEK_ENDING_DAY_ID","CALENDAR_MONTH_NUMBER","FISCAL_MONTH_NUMBER","CALENDAR_MONTH_DESC","CALENDAR_MONTH_ID","FISCAL_MONTH_DESC","FISCAL_MONTH_ID","DAYS_IN_CAL_MONTH","DAYS_IN_FIS_MONTH","END_OF_CAL_MONTH","END_OF_FIS_MONTH","CALENDAR_MONTH_NAME","FISCAL_MONTH_NAME","CALENDAR_QUARTER_DESC","CALENDAR_QUARTER_ID","FISCAL_QUARTER_DESC","FISCAL_QUARTER_ID","DAYS_IN_CAL_QUARTER","DAYS_IN_FIS_QUARTER","END_OF_CAL_QUARTER","END_OF_FIS_QUARTER","CALENDAR_QUARTER_NUMBER","FISCAL_QUARTER_NUMBER","CALENDAR_YEAR","CALENDAR_YEAR_ID","FISCAL_YEAR","FISCAL_YEAR_ID","DAYS_IN_CAL_YEAR","DAYS_IN_FIS_YEAR","END_OF_CAL_YEAR","END_OF_FIS_YEAR"
2021-07-06,"TUESDAY  ",2,6,27,27,2021-07-10,20210710,7,7,"JUL-21",202107,"JUL-21",202107,31,31,2021-07-31,2021-07-31,"JULY     ","JULY     ","Q3-21",20213,"Q3-21",20213,90,90,2021-09-30,2021-09-30,3,3,2021,2021,2021,2021,365,365,2021-12-31,2021-12-31
2021-07-07,"WEDNESDAY",3,7,27,27,2021-07-10,20210710,7,7,"JUL-21",202107,"JUL-21",202107,31,31,2021-07-31,2021-07-31,"JULY     ","JULY     ","Q3-21",20213,"Q3-21",20213,90,90,2021-09-30,2021-09-30,3,3,2021,2021,2021,2021,365,365,2021-12-31,2021-12-31
2021-01-01,"FRIDAY   ",5,1,1,1,2021-01-02,20210102,1,1,"JAN-21",202101,"JAN-21",202101,31,31,2021-01-31,2021-01-31,"JANUARY  ","JANUARY  ","Q1-21",20211,"Q1-21",20211,90,90,2021-03-31,2021-03-31,1,1,2021,2021,2021,2021,365,365,2021-12-31,2021-12-31
2021-01-02,"SATURDAY ",6,2,1,1,2021-01-09,20210109,1,1,"JAN-21",202101,"JAN-21",202101,31,31,2021-01-31,2021-01-31,"JANUARY  ","JANUARY  ","Q1-21",20211,"Q1-21",20211,90,90,2021-03-31,2021-03-31,1,1,2021,2021,2021,2021,365,365,2021-12-31,2021-12-31
2021-01-03,"SUNDAY   ",7,3,1,1,2021-01-09,20210109,1,1,"JAN-21",202101,"JAN-21",202101,31,31,2021-01-31,2021-01-31,"JANUARY  ","JANUARY  ","Q1-21",20211,"Q1-21",20211,90,90,2021-03-31,2021-03-31,1,1,2021,2021,2021,2021,365,365,2021-12-31,2021-12-31
2021-01-04,"MONDAY   ",1,4,1,1,2021-01-09,20210109,1,1,"JAN-21",202101,"JAN-21",202101,31,31,2021-01-31,2021-01-31,"JANUARY  ","JANUARY  ","Q1-21",20211,"Q1-21",20211,90,90,2021-03-31,2021-03-31,1,1,2021,2021,2021,2021,365,365,2021-12-31,2021-12-31
2021-01-05,"TUESDAY  ",2,5,1,1,2021-01-09,20210109,1,1,"JAN-21",202101,"JAN-21",202101,31,31,2021-01-31,2021-01-31,"JANUARY  ","JANUARY  ","Q1-21",20211,"Q1-21",20211,90,90,2021-03-31,2021-03-31,1,1,2021,2021,2021,2021,365,365,2021-12-31,2021-12-31
2021-01-06,"WEDNESDAY",3,6,1,1,2021-01-09,20210109,1,1,"JAN-21",202101,"JAN-21",202101,31,31,2021-01-31,2021-01-31,"JANUARY  ","JANUARY  ","Q1-21",20211,"Q1-21",20211,90,90,2021-03-31,2021-03-31,1,1,2021,2021,2021,2021,365,365,2021-12-31,2021-12-31
2021-01-07,"THURSDAY ",4,7,1,1,2021-01-09,20210109,1,1,"JAN-21",202101,"JAN-21",202101,31,31,2021-01-31,2021-01-31,"JANUARY  ","JANUARY  ","Q1-21",20211,"Q1-21",20211,90,90,2021-03-31,2021-03-31,1,1,2021,2021,2021,2021,365,365,2021-12-31,2021-12-31
2021-01-08,"FRIDAY   ",5,8,2,2,2021-01-09,20210109,1,1,"JAN-21",202101,"JAN-21",202101,31,31,2021-01-31,2021-01-31,"JANUARY  ","JANUARY  ","Q1-21",20211,"Q1-21",20211,90,90,2021-03-31,2021-03-31,1,1,2021,2021,2021,2021,365,365,2021-12-31,2021-12-31
